m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_lastLapTimeInMS,m_currentLapTimeInMS,m_sector1TimeInMS,m_sector1TimeMinutes,m_sector2TimeInMS,m_sector2TimeMinutes,m_deltaToCarInFrontInMS,m_deltaToRaceLeaderInMS,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_numPitStops,m_sector,m_currentLapInvalid,m_penalties,m_totalWarnings,m_cornerCuttingWarnings,m_numUnservedDriveThroughPens,m_numUnservedStopGoPens,m_gridPosition,m_driverStatus,m_resultStatus,m_pitLaneTimerActive,m_pitLaneTimeInLaneInMS,m_pitStopTimerInMS,m_pitStopShouldServePen
17219,4122411239002253147,17219,304.2925720214844,66219,40488,18383,0,0,0,0,0,2451.6044921875,15422.0634765625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17220,4122411239002253147,17220,304.30926513671875,66219,40504,18383,0,0,0,0,0,2452.736328125,15423.1953125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17222,4122411239002253147,17222,304.34259033203125,66219,40538,18383,0,0,0,0,0,2455.0068359375,15425.4658203125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17225,4122411239002253147,17225,304.3926696777344,66219,40588,18383,0,0,0,0,0,2458.4345703125,15428.8935546875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17235,4122411239002253147,17235,304.5595703125,66219,40755,18383,0,0,0,0,0,2470.017578125,15440.4765625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17236,4122411239002253147,17236,304.576171875,66219,40771,18383,0,0,0,0,0,2471.189453125,15441.6484375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17237,4122411239002253147,17237,304.5928955078125,66219,40788,18383,0,0,0,0,0,2472.3623046875,15442.8212890625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17239,4122411239002253147,17239,304.626220703125,66219,40821,18383,0,0,0,0,0,2474.7060546875,15445.1650390625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17240,4122411239002253147,17240,304.6429443359375,66219,40838,18383,0,0,0,0,0,2475.8818359375,15446.3408203125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17241,4122411239002253147,17241,304.6596374511719,66219,40855,18383,0,0,0,0,0,2477.0576171875,15447.5166015625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
