m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_eventStringCode,m_eventDetails
157135,1978039479526609313,157135,3002.125244140625,BUTN,"{""buttonStatus"": 4160}"
157158,1978039479526609313,157158,3003.309814453125,BUTN,"{""buttonStatus"": 4164}"
157160,1978039479526609313,157160,3003.40966796875,BUTN,"{""buttonStatus"": 4160}"
157199,1978039479526609313,157199,3005.328369140625,BUTN,"{""buttonStatus"": 4164}"
157201,1978039479526609313,157201,3005.461669921875,BUTN,"{""buttonStatus"": 4160}"
157281,1978039479526609313,157281,3009.44921875,BUTN,"{""buttonStatus"": 2120}"
157284,1978039479526609313,157284,3009.58251953125,BUTN,"{""buttonStatus"": 2112}"
157285,1978039479526609313,157285,3009.649169921875,BUTN,"{""buttonStatus"": 2120}"
157287,1978039479526609313,157287,3009.76611328125,BUTN,"{""buttonStatus"": 2112}"
157289,1978039479526609313,157289,3009.832763671875,BUTN,"{""buttonStatus"": 2120}"
157291,1978039479526609313,157291,3009.932861328125,BUTN,"{""buttonStatus"": 2112}"
157293,1978039479526609313,157293,3010.049560546875,BUTN,"{""buttonStatus"": 2120}"
157294,1978039479526609313,157294,3010.116455078125,BUTN,"{""buttonStatus"": 2112}"
157297,1978039479526609313,157297,3010.25,BUTN,"{""buttonStatus"": 2120}"
157300,1978039479526609313,157300,3010.38330078125,BUTN,"{""buttonStatus"": 2112}"
157303,1978039479526609313,157303,3010.56689453125,BUTN,"{""buttonStatus"": 2120}"
157306,1978039479526609313,157306,3010.700439453125,BUTN,"{""buttonStatus"": 2112}"
157310,1978039479526609313,157310,3010.8837890625,BUTN,"{""buttonStatus"": 2120}"
157311,1978039479526609313,157311,3010.967041015625,BUTN,"{""buttonStatus"": 2152}"
157313,1978039479526609313,157313,3011.033935546875,BUTN,"{""buttonStatus"": 2144}"
157319,1978039479526609313,157319,3011.334228515625,BUTN,"{""buttonStatus"": 2080}"
157319,1978039479526609313,157319,3011.367431640625,BUTN,"{""buttonStatus"": 32}"
157325,1978039479526609313,157325,3011.651123046875,BUTN,"{""buttonStatus"": 2080}"
157328,1978039479526609313,157328,3011.78466796875,BUTN,"{""buttonStatus"": 32}"
157339,1978039479526609313,157339,3012.335205078125,BUTN,"{""buttonStatus"": 2080}"
157341,1978039479526609313,157341,3012.46875,BUTN,"{""buttonStatus"": 32}"
157351,1978039479526609313,157351,3012.935791015625,BUTN,"{""buttonStatus"": 4128}"
157352,1978039479526609313,157352,3012.98583984375,BUTN,"{""buttonStatus"": 4192}"
157367,1978039479526609313,157367,3013.77001953125,BUTN,"{""buttonStatus"": 4160}"
157389,1978039479526609313,157389,3014.87109375,BUTN,"{""buttonStatus"": 4164}"
157392,1978039479526609313,157392,3015.00439453125,BUTN,"{""buttonStatus"": 4160}"
157405,1978039479526609313,157405,3015.638427734375,BUTN,"{""buttonStatus"": 4164}"
157408,1978039479526609313,157408,3015.77197265625,BUTN,"{""buttonStatus"": 4160}"
157424,1978039479526609313,157424,3016.572998046875,BUTN,"{""buttonStatus"": 4164}"
157426,1978039479526609313,157426,3016.689453125,BUTN,"{""buttonStatus"": 4160}"
157428,1978039479526609313,157428,3016.77294921875,BUTN,"{""buttonStatus"": 4162}"
157430,1978039479526609313,157430,3016.90625,BUTN,"{""buttonStatus"": 4160}"
157443,1978039479526609313,157443,3017.556884765625,BUTN,"{""buttonStatus"": 4164}"
157446,1978039479526609313,157446,3017.673828125,BUTN,"{""buttonStatus"": 4160}"
157469,1978039479526609313,157469,3018.841552734375,BUTN,"{""buttonStatus"": 4164}"
157472,1978039479526609313,157472,3018.97509765625,BUTN,"{""buttonStatus"": 4160}"
157475,1978039479526609313,157475,3019.125244140625,BUTN,"{""buttonStatus"": 4161}"
157479,1978039479526609313,157479,3019.342041015625,BUTN,"{""buttonStatus"": 4160}"
157483,1978039479526609313,157483,3019.525634765625,BUTN,"{""buttonStatus"": 4161}"
157486,1978039479526609313,157486,3019.67578125,BUTN,"{""buttonStatus"": 4160}"
157488,1978039479526609313,157488,3019.77587890625,BUTN,"{""buttonStatus"": 4161}"
157491,1978039479526609313,157491,3019.942626953125,BUTN,"{""buttonStatus"": 4160}"
157509,1978039479526609313,157509,3020.826904296875,BUTN,"{""buttonStatus"": 4164}"
157511,1978039479526609313,157511,3020.960205078125,BUTN,"{""buttonStatus"": 4160}"
157548,1978039479526609313,157548,3022.79541015625,SPTP,"{""vehicleIdx"": 0, ""speed"": 323.9215393066406, ""isOverallFastestInSession"": 1, ""isDriverFastestInSession"": 1, ""fastestVehicleIdxInSession"": 0, ""fastestSpeedInSession"": 323.9215393066406}"
157560,1978039479526609313,157560,3023.39599609375,BUTN,"{""buttonStatus"": 4168}"
157560,1978039479526609313,157560,3023.412841796875,BUTN,"{""buttonStatus"": 6216}"
157561,1978039479526609313,157561,3023.446044921875,BUTN,"{""buttonStatus"": 2120}"
157563,1978039479526609313,157563,3023.546142578125,BUTN,"{""buttonStatus"": 2112}"
157565,1978039479526609313,157565,3023.629638671875,BUTN,"{""buttonStatus"": 2120}"
157566,1978039479526609313,157566,3023.6962890625,BUTN,"{""buttonStatus"": 2112}"
157568,1978039479526609313,157568,3023.81298828125,BUTN,"{""buttonStatus"": 2120}"
157570,1978039479526609313,157570,3023.8798828125,BUTN,"{""buttonStatus"": 2112}"
157572,1978039479526609313,157572,3023.99658203125,BUTN,"{""buttonStatus"": 2120}"
157575,1978039479526609313,157575,3024.130126953125,BUTN,"{""buttonStatus"": 2112}"
157577,1978039479526609313,157577,3024.246826171875,BUTN,"{""buttonStatus"": 2120}"
157579,1978039479526609313,157579,3024.346923828125,BUTN,"{""buttonStatus"": 2112}"
157581,1978039479526609313,157581,3024.430419921875,BUTN,"{""buttonStatus"": 2144}"
157581,1978039479526609313,157581,3024.4638671875,BUTN,"{""buttonStatus"": 2152}"
157584,1978039479526609313,157584,3024.59716796875,BUTN,"{""buttonStatus"": 2088}"
157584,1978039479526609313,157584,3024.61376953125,BUTN,"{""buttonStatus"": 2080}"
157588,1978039479526609313,157588,3024.79736328125,BUTN,"{""buttonStatus"": 2088}"
157590,1978039479526609313,157590,3024.914306640625,BUTN,"{""buttonStatus"": 2080}"
157593,1978039479526609313,157593,3025.064453125,BUTN,"{""buttonStatus"": 32}"
157599,1978039479526609313,157599,3025.36474609375,BUTN,"{""buttonStatus"": 2080}"
157602,1978039479526609313,157602,3025.498046875,BUTN,"{""buttonStatus"": 32}"
157617,1978039479526609313,157617,3026.248779296875,BUTN,"{""buttonStatus"": 4128}"
157633,1978039479526609313,157633,3027.066162109375,BUTN,"{""buttonStatus"": 4192}"
